fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
main_P3_P3-M1_rolling_2024,rolling,2024,P3-M1,hongming,1401.25,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",7.5,2022;2023,hongming_2022;hongming_2023,nested_training_year_cv
main_P3_P3-M1_rolling_2024,rolling,2024,P3-M1,luhong,1408,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",7.5,2022;2023,luhong_2022;luhong_2023,nested_training_year_cv
main_P3_P3-B0_rolling_2025,rolling,2025,P3-B0,bannei,71,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",7,2022;2023;2024,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-B0_rolling_2025,rolling,2025,P3-B0,hongming,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",7,2022;2023;2024,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-B0_rolling_2025,rolling,2025,P3-B0,luhong,79,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",7,2022;2023;2024,luhong_2022;luhong_2023;luhong_2024,nested_training_year_cv
main_P3_P3-M1_rolling_2025,rolling,2025,P3-M1,bannei,1381.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.888888889,2022;2023;2024,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-M1_rolling_2025,rolling,2025,P3-M1,hongming,1425.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.888888889,2022;2023;2024,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M1_rolling_2025,rolling,2025,P3-M1,luhong,1533.8,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",5.888888889,2022;2023;2024,luhong_2022;luhong_2023;luhong_2024,nested_training_year_cv
main_P3_P3-B0_rolling_2026,rolling,2026,P3-B0,bannei,71,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-B0_rolling_2026,rolling,2026,P3-B0,hongming,69,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-B0_rolling_2026,rolling,2026,P3-B0,luhong,79,"{""kind"": ""duration"", ""model_id"": ""P3-B0""}",5.3,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
main_P3_P3-M1_rolling_2026,rolling,2026,P3-M1,bannei,1381.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
main_P3_P3-M1_rolling_2026,rolling,2026,P3-M1,hongming,1425.5,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M1_rolling_2026,rolling,2026,P3-M1,luhong,1508.8,"{""kind"": ""gdd"", ""model_id"": ""P3-M1"", ""temperature"": 5}",4.9,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
main_P3_P3-M2_LOYO_2022,LOYO,2022,P3-M2,bannei,1475.3203,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.444444444,2023;2024;2025;2026,bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2022,LOYO,2022,P3-M2,hongming,1517.145263,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.444444444,2023;2024;2025;2026,hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M2_LOYO_2022,LOYO,2022,P3-M2,luhong,1696.8279,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.444444444,2023;2024;2025;2026,luhong_2023;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2023,LOYO,2023,P3-M2,bannei,996.2596875,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.777777778,2022;2024;2025;2026,bannei_2022;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2023,LOYO,2023,P3-M2,hongming,1039.051037,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.777777778,2022;2024;2025;2026,hongming_2022;hongming_2024,nested_training_year_cv
main_P3_P3-M2_LOYO_2023,LOYO,2023,P3-M2,luhong,1188.874356,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",5.777777778,2022;2024;2025;2026,luhong_2022;luhong_2024;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2024,LOYO,2024,P3-M2,bannei,1073.72425,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",4.666666667,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2024,LOYO,2024,P3-M2,hongming,1062.860437,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",4.666666667,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
main_P3_P3-M2_LOYO_2024,LOYO,2024,P3-M2,luhong,1152.72475,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",4.666666667,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2025,LOYO,2025,P3-M2,bannei,1365.126563,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.090909091,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2025,LOYO,2025,P3-M2,hongming,1388.845833,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.090909091,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
main_P3_P3-M2_LOYO_2025,LOYO,2025,P3-M2,luhong,1588.75,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""heat_hour_fraction"", ""temperature"": 5}",5.090909091,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
main_P3_P3-M2_LOYO_2026,LOYO,2026,P3-M2,bannei,1365.1659,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P3-M2"", ""modifier"": ""water_balance"", ""temperature"": 5}",4.8,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
