fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
bannei_early_sensitivity_P1_P1-B1_LOYO_2024,LOYO,2024,P1-B1,luhong,2,"{""kind"": ""calendar"", ""model_id"": ""P1-B1""}",5.7,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2024,LOYO,2024,P1-D1,bannei,50.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmean_c""}",7.8,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2024,LOYO,2024,P1-D1,hongming,42.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmean_c""}",7.8,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D1_LOYO_2024,LOYO,2024,P1-D1,luhong,28,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmean_c""}",7.8,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2024,LOYO,2024,P1-D2,bannei,130.35,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",28.3,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2024,LOYO,2024,P1-D2,hongming,116.7,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",28.3,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
bannei_early_sensitivity_P1_P1-D2_LOYO_2024,LOYO,2024,P1-D2,luhong,50.85,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",28.3,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2024,LOYO,2024,P1-H1,bannei,1220.5,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",7.9,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2024,LOYO,2024,P1-H1,hongming,1029.5,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",7.9,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H1_LOYO_2024,LOYO,2024,P1-H1,luhong,647.5,"{""kind"": ""cold_count_hour"", ""model_id"": ""P1-H1"", ""temperature"": 22}",7.9,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2024,LOYO,2024,P1-H2,bannei,3159.1,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",24.9,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2024,LOYO,2024,P1-H2,hongming,3045.55,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",24.9,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H2_LOYO_2024,LOYO,2024,P1-H2,luhong,1375.1,"{""kind"": ""cold_degree_hour"", ""model_id"": ""P1-H2"", ""temperature"": 22}",24.9,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2024,LOYO,2024,P1-H3,bannei,774.185,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 15, ""upper"": 25}",9.8,2022;2023;2025;2026,bannei_2022;bannei_2023;bannei_2025;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2024,LOYO,2024,P1-H3,hongming,721.58,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 15, ""upper"": 25}",9.8,2022;2023;2025;2026,hongming_2022;hongming_2023,nested_training_year_cv
bannei_early_sensitivity_P1_P1-H3_LOYO_2024,LOYO,2024,P1-H3,luhong,426.405,"{""kind"": ""triangular_hour"", ""lower"": 5, ""model_id"": ""P1-H3"", ""optimum"": 15, ""upper"": 25}",9.8,2022;2023;2025;2026,luhong_2022;luhong_2023;luhong_2025;luhong_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2025,LOYO,2025,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",4.545454545,2022;2023;2024;2026,bannei_2022;bannei_2023;bannei_2024;bannei_2026,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2025,LOYO,2025,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",4.545454545,2022;2023;2024;2026,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
bannei_early_sensitivity_P1_P1-B0_LOYO_2025,LOYO,2025,P1-B0,luhong,128.5,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",4.545454545,2022;2023;2024;2026,luhong_2022;luhong_2023;luhong_2024;luhong_2026,nested_training_year_cv
