fit_id,holdout_year,validation,model_id,candidate_index,spec,inner_MAE_days,training_years
main_P2_P2-M1_rolling_2026,2026,rolling,P2-M1,1,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 8}",6.4,2022;2023;2024;2025
main_P2_P2-M1_rolling_2026,2026,rolling,P2-M1,2,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 10}",6.2,2022;2023;2024;2025
main_P2_P2-M1_rolling_2026,2026,rolling,P2-M1,3,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 12}",6.4,2022;2023;2024;2025
main_P2_P2-M1_rolling_2026,2026,rolling,P2-M1,4,"{""kind"": ""gdd"", ""model_id"": ""P2-M1"", ""temperature"": 15}",7.4,2022;2023;2024;2025
main_P2_P2-M2_LOYO_2022,2022,LOYO,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",6.888888889,2023;2024;2025;2026
main_P2_P2-M2_LOYO_2022,2022,LOYO,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",6.666666667,2023;2024;2025;2026
main_P2_P2-M2_LOYO_2022,2022,LOYO,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",6.444444444,2023;2024;2025;2026
main_P2_P2-M2_LOYO_2023,2023,LOYO,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",7.666666667,2022;2024;2025;2026
main_P2_P2-M2_LOYO_2023,2023,LOYO,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",7.222222222,2022;2024;2025;2026
main_P2_P2-M2_LOYO_2023,2023,LOYO,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 12}",7.666666667,2022;2024;2025;2026
main_P2_P2-M2_LOYO_2024,2024,LOYO,P2-M2,0,"{""coefficient"": -0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",3.222222222,2022;2023;2025;2026
main_P2_P2-M2_LOYO_2024,2024,LOYO,P2-M2,1,"{""coefficient"": 0, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",2.888888889,2022;2023;2025;2026
main_P2_P2-M2_LOYO_2024,2024,LOYO,P2-M2,2,"{""coefficient"": 0.25, ""kind"": ""gdd"", ""model_id"": ""P2-M2"", ""modifier"": ""radiation"", ""temperature"": 5}",3.555555556,2022;2023;2025;2026
