station_id,region_id,date,tmean_c,tmax_c,tmin_c,precip_mm,relative_humidity_pct,sunshine_h,shortwave_radiation_mj_m2,wind_speed_mean_ms,wind_speed_max_ms,et0_mm,requested_latitude,requested_longitude,grid_latitude,grid_longitude,elevation_m,timezone,source_provider,source_dataset,source_model,coordinate_basis,request_fingerprint_sha256,downloaded_at_utc
bannei,haikou,2021-08-27,27.8,29.1,26.5,2.2,83,10.817547222222222,20.58,4.58,6.31,4.33,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-28,27.4,28.5,25.8,6.8,85,10.398119444444445,19.73,4.73,6.12,4.08,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-29,27.7,28.7,26.6,3.5,84,10.359772222222222,19.43,4.2,5.57,4.14,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-30,27.3,28.7,26.1,8.7,86,10.388263888888888,18.11,3.55,5.2,3.74,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-08-31,27.3,28.4,26.3,4.9,86,11.84363611111111,19.12,3.81,6.22,3.91,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-01,27.1,28.2,26.3,8.0,85,9.980716666666668,15.8,2.94,4.3,3.31,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-02,27.0,29.0,26.0,16.2,86,9.700244444444444,16.89,2.37,3.89,3.56,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-03,27.6,29.7,26.0,4.7,84,11.62573888888889,19.66,2.83,4.3,4.23,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-04,27.4,28.8,26.2,3.7,85,11.626791666666666,18.63,3.41,4.78,3.99,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
bannei,haikou,2021-09-05,27.7,30.4,26.1,5.5,84,10.724880555555556,19.99,3.46,5.36,4.28,19.899341667,110.499494444,20.0,110.5,27.0,Asia/Shanghai,Open-Meteo Historical Weather API,ERA5 reanalysis,era5,"exact Bannei orchard coordinate from 2024-2025 and 2025-2026 annual work summaries; N 19°53'57.63"", E 110°29'58.18""",849d130c777a24e69e73699aca102ef826a797ce10c92589f1b91d4586acb13e,2026-08-28T03:13:55+00:00
