cohort,validation,model_id,holdout_year,n_predictions,MAE_kg_mu,RMSE_kg_mu,median_AE_kg_mu,mean_bias_kg_mu,Spearman_r,normalized_MAE,negative_predictions
SENS-HM25-26,LOYO,Y-W1C,2024,3,564.4780322,615.817982,561.9007045,564.4780322,1,0.9135525531,0
SENS-HM25-26,LOYO,Y-W1C,2025,2,361.1890658,435.939167,361.1890658,244.1012414,1,0.4362134103,0
SENS-HM25-26,LOYO,Y-W1C,2026,3,390.3136029,414.4413487,389.7042949,-390.3136029,0.5,0.3589244623,0
SENS-HM25-26,LOYO,Y-W1M,2022,3,808.1289833,946.482273,905.6209339,-808.1289833,-1,0.540429187,0
SENS-HM25-26,LOYO,Y-W1M,2023,3,357.6068107,386.9329636,263.7210875,-19.88048633,0.5,0.3430665085,0
SENS-HM25-26,LOYO,Y-W1M,2024,3,524.4528644,627.0447689,450.0271207,524.4528644,1,0.8487757289,0
SENS-HM25-26,LOYO,Y-W1M,2025,2,261.9930731,347.4965953,261.9930731,228.2838439,1,0.3164129336,0
SENS-HM25-26,LOYO,Y-W1M,2026,3,244.7743686,248.844492,256.0195311,-74.09468125,0.5,0.2250895382,0
SENS-HM26,LOYO,Y-B0,2022,3,648.3933333,716.8516061,574.8,-437.5733333,-1,0.4336073686,0
SENS-HM26,LOYO,Y-B0,2023,3,341.8933333,423.6247756,422.33,-60.34,0.5,0.3279919415,0
SENS-HM26,LOYO,Y-B0,2024,3,470.6766667,514.7062328,587.49,470.6766667,0.5,0.7617442061,0
SENS-HM26,LOYO,Y-B0,2025,1,89.04,89.04,89.04,-89.04,NA,0.07383819286,0
SENS-HM26,LOYO,Y-B0,2026,3,136.2066667,189.6846128,89.04,-133.9733333,0.5,0.1252528844,0
SENS-HM26,LOYO,Y-W1C,2022,3,527.6902618,634.7031071,688.644949,-502.1136798,-1,0.3528882456,0
SENS-HM26,LOYO,Y-W1C,2023,3,322.4418561,351.8687826,338.6440389,-1.753244859,0.5,0.3093313619,0
SENS-HM26,LOYO,Y-W1C,2024,3,557.146999,641.4835719,533.1300004,557.146999,0.5,0.9016879921,0
SENS-HM26,LOYO,Y-W1C,2025,1,117.0878244,117.0878244,117.0878244,-117.0878244,NA,0.0970974097,0
SENS-HM26,LOYO,Y-W1C,2026,3,237.5759506,243.9021524,204.4995211,-108.9823746,0.5,0.2184700192,0
SENS-HM26,LOYO,Y-W1M,2022,3,749.5479655,896.9448802,876.19099,-749.5479655,-1,0.5012536439,0
SENS-HM26,LOYO,Y-W1M,2023,3,376.5395012,388.06788,323.1382033,37.52805325,0.5,0.3612293953,0
SENS-HM26,LOYO,Y-W1M,2024,3,587.9819358,700.5834158,490.1092575,587.9819358,0.5,0.951591325,0
SENS-HM26,LOYO,Y-W1M,2025,1,33.70922919,33.70922919,33.70922919,-33.70922919,NA,0.02795404949,0
SENS-HM26,LOYO,Y-W1M,2026,3,175.9742397,187.3087621,153.6922475,73.51274136,0.5,0.1618223369,0
