context,model_id,alpha,inner_MAE_kg_mu,training_years
MAIN_LOYO_outer_2024,Y-W3P+PHENO,1,566.154054,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P+PHENO,10,399.2239042,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P+PHENO,100,333.8696807,2022;2023;2025;2026
MAIN_LOYO_outer_2024,Y-W3P+PHENO,1000,327.9562073,2022;2023;2025;2026
MAIN_LOYO_outer_2026,Y-W3P+PHENO,0.1,1592.739224,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P+PHENO,1,932.6211387,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P+PHENO,10,632.6424244,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P+PHENO,100,528.5504206,2022;2023;2024;2025
MAIN_LOYO_outer_2026,Y-W3P+PHENO,1000,507.2581658,2022;2023;2024;2025
MAIN_rolling_outer_2024,Y-W1C,0.1,767.8322171,2022;2023
MAIN_rolling_outer_2024,Y-W1C,1,716.7815638,2022;2023
MAIN_rolling_outer_2024,Y-W1C,10,618.7577081,2022;2023
MAIN_rolling_outer_2024,Y-W1C,100,525.0864386,2022;2023
MAIN_rolling_outer_2024,Y-W1C,1000,504.5393255,2022;2023
MAIN_rolling_outer_2025,Y-W1C,0.1,1416.962578,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1C,1,749.5017247,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1C,10,544.4302985,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1C,100,534.9205662,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1C,1000,558.8479952,2022;2023;2024
MAIN_rolling_outer_2026,Y-W1C,0.1,1239.446748,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1C,1,686.703717,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1C,10,508.4190576,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1C,100,489.387347,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1C,1000,502.8629494,2022;2023;2024;2025
MAIN_rolling_outer_2024,Y-W1M,0.1,873.6801725,2022;2023
MAIN_rolling_outer_2024,Y-W1M,1,806.3469645,2022;2023
MAIN_rolling_outer_2024,Y-W1M,10,621.7640121,2022;2023
MAIN_rolling_outer_2024,Y-W1M,100,520.2464601,2022;2023
MAIN_rolling_outer_2024,Y-W1M,1000,503.9173318,2022;2023
MAIN_rolling_outer_2025,Y-W1M,0.1,1498.954392,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1M,1,927.0349246,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1M,10,602.3973947,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1M,100,562.1788186,2022;2023;2024
MAIN_rolling_outer_2025,Y-W1M,1000,561.9813703,2022;2023;2024
MAIN_rolling_outer_2026,Y-W1M,0.1,1609.774898,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1M,1,780.0501832,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1M,10,499.584832,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1M,100,503.6598405,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W1M,1000,504.5293231,2022;2023;2024;2025
MAIN_rolling_outer_2024,Y-W2O,0.1,1232.402825,2022;2023
MAIN_rolling_outer_2024,Y-W2O,1,1111.756293,2022;2023
MAIN_rolling_outer_2024,Y-W2O,10,716.9097939,2022;2023
MAIN_rolling_outer_2024,Y-W2O,100,531.3918,2022;2023
MAIN_rolling_outer_2024,Y-W2O,1000,505.0689537,2022;2023
MAIN_rolling_outer_2025,Y-W2O,0.1,1093.199781,2022;2023;2024
MAIN_rolling_outer_2025,Y-W2O,1,933.3498661,2022;2023;2024
MAIN_rolling_outer_2025,Y-W2O,10,683.5977035,2022;2023;2024
MAIN_rolling_outer_2025,Y-W2O,100,573.009187,2022;2023;2024
MAIN_rolling_outer_2025,Y-W2O,1000,563.1532793,2022;2023;2024
MAIN_rolling_outer_2026,Y-W2O,0.1,1137.702449,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W2O,1,904.4571221,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W2O,10,637.0189529,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W2O,100,521.1886689,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W2O,1000,506.3401783,2022;2023;2024;2025
MAIN_rolling_outer_2025,Y-W3P,0.1,746.6014454,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P,1,685.6766174,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P,10,562.6775372,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P,100,549.2808347,2022;2023;2024
MAIN_rolling_outer_2025,Y-W3P,1000,560.4883423,2022;2023;2024
MAIN_rolling_outer_2026,Y-W3P,0.1,1371.609671,2022;2023;2024;2025
MAIN_rolling_outer_2026,Y-W3P,1,849.5571862,2022;2023;2024;2025
